source cloud id, target cloud id, registration time, rotation error, translation error
, , ms, rad, mm
1, 0, 7157, 0.0126389,0.0131173
2, 0, 12295, 0.0255084,0.0156796
3, 0, 4896, 0.0341045,0.00730837
4, 0, 7570, 0.0294845,0.0219072
5, 0, 10899, 0.0249173,0.0298641
6, 0, 9718, 0.0317772,0.0462248
10, 0, 7298, 0.022699,0.0172072
11, 0, 5366, 0.0300532,0.0178092
12, 0, 4924, 0.0252878,0.0154372
13, 0, 3225, 0.0294238,0.00723556
14, 0, 1793, 0.0452457,0.00837489
15, 0, 3400, 0.0333837,0.0175444
19, 0, 13743, 0.0083723,0.026477
26, 0, 16165, 0.0216176,0.0225281
27, 0, 10784, 0.0280973,0.0188846
28, 0, 9830, 0.0296699,0.0252347
29, 0, 6197, 0.0414868,0.0202504
31, 0, 5517, 0.0116576,0.00357221
32, 0, 7689, 0.0132288,0.023461
37, 0, 24402, 0.0241693,0.0360341
38, 0, 8115, 0.0193845,0.0215976
39, 0, 16970, 0.0125062,0.0380047
41, 0, 33019, 0.0593987,0.0196082
2, 1, 1596, 0.0380444,0.00817583
3, 1, 9081, 0.0279569,0.0187808
4, 1, 7746, 0.0311596,0.033521
5, 1, 13058, 0.0294724,0.0310552
10, 1, 6294, 0.0310215,0.030791
11, 1, 6939, 0.0322871,0.0258391
12, 1, 3509, 0.0269538,0.0254257
13, 1, 3439, 0.0217605,0.0187973
14, 1, 4108, 0.0314187,0.0186503
26, 1, 11895, 0.0240258,0.0164624
27, 1, 17644, 0.0212729,0.0189651
28, 1, 6746, 0.023686,0.021519
29, 1, 6554, 0.0436384,0.0303493
31, 1, 4432, 0.0243854,0.0115819
32, 1, 6090, 0.0227619,0.0170472
40, 1, 34379, 0.0294764,0.0276659
41, 1, 49175, 0.04862,0.0230021
3, 2, 8522, 0.0182505,0.0162111
11, 2, 28919, 0.0213958,0.0274851
12, 2, 9776, 0.0200674,0.0164775
13, 2, 5605, 0.0198464,0.0219673
14, 2, 10306, 0.0100425,0.0272592
26, 2, 19830, 0.03314,0.0143526
27, 2, 25753, 0.0445739,0.0321372
28, 2, 8132, 0.017619,0.0114808
29, 2, 5842, 0.016312,0.00882733
30, 2, 4831, 0.00417188,0.0293558
31, 2, 5715, 0.0178074,0.0215401
40, 2, 26263, 0.0241199,0.0344766
41, 2, 24515, 0.0199483,0.0203216
42, 2, 19334, 0.0288385,0.0297102
4, 3, 6434, 0.0084573,0.021675
5, 3, 5723, 0.0169077,0.0276955
10, 3, 4738, 0.0182635,0.0226665
11, 3, 3840, 0.0156404,0.012363
12, 3, 3949, 0.00946816,0.00717485
13, 3, 2636, 0.0187085,0.012386
14, 3, 2768, 0.0286893,0.0208015
26, 3, 10481, 0.0189931,0.0171621
27, 3, 14909, 0.0224136,0.019897
28, 3, 4347, 0.0203565,0.0114027
29, 3, 5440, 0.0191182,0.00263771
30, 3, 4205, 0.0200199,0.0312785
40, 3, 19609, 0.0322132,0.0414535
41, 3, 20042, 0.0189491,0.0219343
42, 3, 8166, 0.0179939,0.0140046
43, 3, 3942, 0.0224242,0.00419393
44, 3, 3443, 0.0211041,0.012212
45, 3, 4523, 0.0207221,0.0216714
5, 4, 5554, 0.00874831,0.0132403
6, 4, 12674, 0.0204849,0.0386365
7, 4, 15433, 0.0301602,0.0275098
9, 4, 8989, 0.0102307,0.0171361
10, 4, 5426, 0.0118704,0.0117616
11, 4, 3269, 0.00717625,0.00898455
12, 4, 7215, 0.0106754,0.0133646
13, 4, 4832, 0.018257,0.0138575
14, 4, 4263, 0.0407414,0.035629
15, 4, 3268, 0.0344524,0.0432608
18, 4, 20705, 0.0155563,0.0675565
19, 4, 10818, 0.0174285,0.0231366
20, 4, 47238, 0.0303454,0.0712981
25, 4, 13208, 0.0143775,0.0232184
26, 4, 16056, 0.0206068,0.0363969
27, 4, 32554, 0.0280803,0.0119489
37, 4, 12722, 0.0178743,0.051254
38, 4, 4625, 0.0210305,0.0291399
39, 4, 28679, 0.026998,0.0840667
41, 4, 31885, 0.024001,0.0323119
6, 5, 9751, 0.0106866,0.0226364
7, 5, 18477, 0.0231926,0.019386
8, 5, 11977, 0.0278886,0.0318379
9, 5, 8763, 0.0104725,0.00953484
10, 5, 3704, 0.0145424,0.0184176
11, 5, 10504, 0.00575676,0.0258838
12, 5, 11154, 0.0122753,0.018204
15, 5, 4248, 0.0213735,0.0316222
16, 5, 2435, 0.041636,0.016726
17, 5, 36148, 0.0167732,0.0912341
18, 5, 13375, 0.0131927,0.0465996
19, 5, 11216, 0.0124297,0.0147727
20, 5, 45338, 0.00730794,0.0589057
21, 5, 56866, 0.0598847,0.0769295
25, 5, 17116, 0.0293305,0.0152469
26, 5, 35884, 0.0252689,0.0272933
36, 5, 55762, 0.00729161,0.0474853
37, 5, 19854, 0.0140843,0.0280129
38, 5, 8587, 0.0279995,0.0308927
39, 5, 27569, 0.0187848,0.0555152
7, 6, 4144, 0.0128448,0.00388824
8, 6, 7763, 0.0354418,0.0189637
9, 6, 12157, 0.0202272,0.0191312
10, 6, 8390, 0.00982651,0.0390722
11, 6, 18189, 0.0160764,0.0488803
12, 6, 23223, 0.0204674,0.035822
15, 6, 4003, 0.0251554,0.0266552
16, 6, 9083, 0.0109728,0.0332584
17, 6, 22990, 0.00632886,0.0522027
18, 6, 8241, 0.00999491,0.0183126
19, 6, 6778, 0.0100068,0.0101957
20, 6, 26106, 0.0116166,0.031211
21, 6, 35647, 0.0427272,0.0309327
24, 6, 8928, 0.0371372,0.0296425
25, 6, 13260, 0.0273795,0.0136006
26, 6, 26447, 0.0122169,0.0276102
35, 6, 15669, 0.00822868,0.0155896
36, 6, 15083, 0.0184519,0.0138554
37, 6, 12768, 0.0148185,0.00892716
38, 6, 13755, 0.0150183,0.0253816
39, 6, 17391, 0.00896368,0.0233335
53, 6, 4357, 0.0515997,0.00930293
54, 6, 23998, 0.0120992,0.0163801
59, 6, 6374, 0.0248263,0.0245734
8, 7, 15152, 0.0117999,0.0195031
