source cloud id, target cloud id, registration time, rotation error, translation error
, , ms, rad, mm
1,0,150,0.0128726,0.0128047
2,0,95,0.0233973,0.0153077
3,0,68,0.0329125,0.00786772
4,0,104,0.0284263,0.0226262
5,0,98,0.0238715,0.029293
6,0,92,0.0313655,0.0502702
10,0,103,0.0195132,0.0173441
11,0,113,0.028822,0.0170448
12,0,128,0.024001,0.0160267
13,0,86,0.0250272,0.00848269
14,0,49,0.0422642,0.00904932
15,0,67,0.0296056,0.0194639
19,0,83,0.0080233,0.0258318
26,0,138,0.0204733,0.0217893
27,0,81,0.0281269,0.0202707
28,0,72,0.0298622,0.0238245
29,0,59,0.0404329,0.0187333
31,0,76,0.0130291,0.00681187
32,0,71,0.0200615,0.0152146
37,0,96,0.022323,0.0340868
38,0,60,0.0187594,0.0195085
39,0,86,0.00605942,0.028684
41,0,85,0.05469,0.0157394
2,1,48,0.0341395,0.0108434
3,1,106,0.0274273,0.0200862
4,1,71,0.0318034,0.0323572
5,1,67,0.0313123,0.0308145
10,1,69,0.0290937,0.0309208
11,1,100,0.0315361,0.0257719
12,1,80,0.0286561,0.0262997
13,1,89,0.0214959,0.0195127
14,1,94,0.0311328,0.0190706
26,1,93,0.0279995,0.0174754
27,1,122,0.020951,0.0198425
28,1,75,0.0239861,0.0215869
29,1,64,0.0445685,0.0302394
31,1,63,0.020653,0.00985362
32,1,48,0.0225673,0.0158059
40,1,123,0.0335902,0.0273478
41,1,156,0.0432817,0.0217033
3,2,113,0.0183547,0.0170623
11,2,106,0.0186702,0.0292804
12,2,98,0.0194214,0.0205966
13,2,93,0.0198644,0.0234356
14,2,95,0.0115858,0.0287402
26,2,70,0.0363388,0.0193555
27,2,138,0.0488818,0.0221069
28,2,118,0.0174148,0.0107869
29,2,114,0.0177404,0.00890884
30,2,91,0.00390625,0.0307747
31,2,74,0.0181785,0.0225994
40,2,177,0.024253,0.0336164
41,2,144,0.0179807,0.0211773
42,2,127,0.0271784,0.0297193
4,3,113,0.00822868,0.0219285
5,3,88,0.0161578,0.0299276
10,3,83,0.019062,0.0234065
11,3,87,0.0156404,0.0120191
12,3,139,0.00895037,0.00780354
13,3,117,0.0184712,0.0129255
14,3,100,0.0293305,0.0212706
26,3,101,0.0200437,0.014594
27,3,184,0.0236709,0.0186005
28,3,72,0.0212505,0.00896864
29,3,134,0.0210305,0.00680045
30,3,91,0.0206241,0.0311941
40,3,152,0.0329921,0.0413054
41,3,158,0.0187594,0.0203909
42,3,109,0.0184389,0.0137279
43,3,89,0.0218152,0.00297686
44,3,106,0.0223763,0.0129157
45,3,113,0.0203682,0.0221043
5,4,174,0.00939231,0.0145591
6,4,145,0.020543,0.0367123
7,4,140,0.0253584,0.0326554
9,4,152,0.0107644,0.0170526
10,4,174,0.0108965,0.0109184
11,4,143,0.00638512,0.00887629
12,4,143,0.00994709,0.0123367
13,4,111,0.0191618,0.0140886
14,4,130,0.0418017,0.0357853
15,4,132,0.0321056,0.0437368
18,4,221,0.017524,0.0624666
19,4,140,0.0159573,0.0245675
20,4,204,0.0242432,0.0739475
25,4,109,0.0125917,0.0199446
26,4,152,0.0201031,0.0357625
27,4,159,0.022599,0.00954445
37,4,150,0.0158147,0.0505144
38,4,57,0.0193044,0.0266407
39,4,290,0.0243119,0.0776179
41,4,120,0.0260861,0.0314428
6,5,130,0.0100781,0.0231288
7,5,129,0.0201327,0.0201023
8,5,99,0.0265617,0.0323872
9,5,148,0.0113782,0.00950882
10,5,111,0.0137589,0.019056
11,5,115,0.00411433,0.0255998
12,5,67,0.0102656,0.0189726
15,5,81,0.0190307,0.0301459
16,5,55,0.0415155,0.0192823
17,5,227,0.0154718,0.0920572
18,5,186,0.0139653,0.0463337
19,5,150,0.0111346,0.0146844
20,5,180,0.00516749,0.0615204
21,5,176,0.0513658,0.0692892
25,5,97,0.02473,0.0166713
26,5,111,0.0234177,0.0272447
36,5,80,0.0170202,0.026253
37,5,109,0.0139482,0.0300307
38,5,70,0.0248886,0.0297113
39,5,183,0.018093,0.0572637
7,6,130,0.0123141,0.00404387
8,6,84,0.0392902,0.017932
